epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1602.58,1.12592,1.99447,1.14603,0.77581,0.76547,0.79962,0.60258,0.9342,1.18861,1.05629,0.000471753,0.000471753,0.000471753
2,3585.23,1.08398,1.36807,1.09016,0.70715,0.57925,0.70463,0.40055,1.41062,1.74226,1.29248,0.000929314,0.000929314,0.000929314
3,5526.3,1.09238,1.26072,1.10382,0.71181,0.66953,0.75356,0.5534,0.9625,1.18684,1.02259,0.00136801,0.00136801,0.00136801
4,7501.81,1.06049,1.12186,1.08267,0.81764,0.77295,0.84081,0.64158,0.9195,1.00465,1.04199,0.00134412,0.00134412,0.00134412
5,9250.01,1.03911,1.07206,1.08341,0.67111,0.64151,0.72726,0.52987,1.01893,1.26173,1.07066,0.00131582,0.00131582,0.00131582
